source_variable_id,source_id,survey,cycle,original_name,population_asked,variable_type,variable_label,answer_values_and_codes,missing_n,missing_pct,distinct_n,min,max,example,country_specific_notes,codebook_name,codebook_label,codebook_variable_type,codebook_remarks,codebook_match_status,source_document,source_sheet,dictionary_source_row,codebook_source_row,review_status
SRC-PARIS-C1-Q_PN_PREOS2M,PARIS-C1-PUF202605-CODEBOOK,PaRIS,1,Q_PN_PREOS2m,ASK ALL,numeric,"Health care professionals that you usually see support your health and health care: When I think something is wrong with my health care, I raise my concerns with my health care professionals",Not answered = -97; Multiple answers = -96; Question not asked = -95; Strongly disagree = 1; Disagree = 2; Neither agree nor disagree = 3; Agree = 4; Strongly agree = 5; NA = 6,2998,3.64,5,1,5,4,,Q_PN_PREOS2m,"Health care professionals that you usually see support your health and health care: When I think something is wrong with my health care, I raise my concerns with my health care professionals",Numeric,,MATCHED,paris-cycle1-puf-codebook-202605-v0.xlsx,PUF_DataDictionary,44,430,EXTRACTED_UNREVIEWED
SRC-PARIS-C1-Q_CONFIDENT_P3CEQ10,PARIS-C1-PUF202605-CODEBOOK,PaRIS,1,Q_CONFIDENT_P3CEQ10,ASK ALL,numeric,How confident are you that you can manage your own health and wellbeing?,Not answered = -97; Multiple answers = -96; Question not asked = -95; Very confident = 1; Confident = 2; Somewhat confident = 3; Not confident at all = 4; Does not apply = 5; NA = 6,2756,3.35,5,1,5,2,,Q_CONFIDENT_P3CEQ10,How confident are you that you can manage your own health and wellbeing?,Numeric,,MATCHED,paris-cycle1-puf-codebook-202605-v0.xlsx,PUF_DataDictionary,45,442,EXTRACTED_UNREVIEWED
SRC-PARIS-C1-Q_CWF1130,PARIS-C1-PUF202605-CODEBOOK,PaRIS,1,Q_CWF1130,ASK ALL,numeric,Is there one single professional you usually go to for most of your health problems?,"Not answered = -97; Multiple answers = -96; Question not asked = -95; Yes, a doctor = 1; Yes, another health care professional = 2; No, there is no single health care professional I usually go to for most of my health problems = 3; Not sure = 4; NA = 5",3074,3.74,4,1,4,1,,Q_CWF1130,Is there one single professional you usually go to for most of your health problems?,Numeric,,MATCHED,paris-cycle1-puf-codebook-202605-v0.xlsx,PUF_DataDictionary,46,453,EXTRACTED_UNREVIEWED
SRC-PARIS-C1-Q_USUALDR1,PARIS-C1-PUF202605-CODEBOOK,PaRIS,1,Q_USUALDR1,ASK IF Q_CWF1130 = 1,numeric,Who is this doctor?,Not answered = -97; Multiple answers = -96; Question not asked = -95; A doctor specialised in family medicine/general practice = 1; Another specialist doctor = 2; Not sure = 3; NA = 4,18667,22.69,3,1,3,1,,Q_USUALDR1,Who is this doctor?,Numeric,,MATCHED,paris-cycle1-puf-codebook-202605-v0.xlsx,PUF_DataDictionary,47,463,EXTRACTED_UNREVIEWED
SRC-PARIS-C1-Q_CWF1140,PARIS-C1-PUF202605-CODEBOOK,PaRIS,1,Q_CWF1140,ASK IF Q_CWF1130 = 1,numeric,How long have you been seeing this doctor?,Not answered = -97; Multiple answers = -96; Question not asked = -95; 1 year or less = 1; More than 1 year but no more than 3 years = 2; More than 3 years but no more than 5 years = 3; More than 5 years but no more than 10 years = 4; More than 10 years = 5; Not sure = 6; NA = 7,18570,22.57,6,1,6,2,,Q_CWF1140,How long have you been seeing this doctor?,Numeric,,MATCHED,paris-cycle1-puf-codebook-202605-v0.xlsx,PUF_DataDictionary,48,472,EXTRACTED_UNREVIEWED
SRC-PARIS-C1-Q_USUALDR2,PARIS-C1-PUF202605-CODEBOOK,PaRIS,1,Q_USUALDR2,ASK IF Q_CWF1130 = 1,numeric,"How many times have you seen this doctor in the past 12 months? This could be in person, on the phone, by video call or online messaging.",Not answered = -97; Multiple answers = -96; Question not asked = -95; Not in the past 12 months = 1; 1 time = 2; 2 times = 3; 3 times = 4; 4 times = 5; 5 times or more = 6; Not sure = 7; NA = 8,18617,22.63,7,1,7,6,,Q_USUALDR2,"How many times have you seen this doctor in the past 12 months? This could be in person, on the phone, by video call or online messaging.",Numeric,,MATCHED,paris-cycle1-puf-codebook-202605-v0.xlsx,PUF_DataDictionary,49,484,EXTRACTED_UNREVIEWED
SRC-PARIS-C1-Q_USUALDR3,PARIS-C1-PUF202605-CODEBOOK,PaRIS,1,Q_USUALDR3,ASK IF Q_CWF1130 = 2,numeric,Who is this health care professional?,"Not answered = -97; Multiple answers = -96; Question not asked = -95; A nurse = 1; Nurse practitioner = 2; An allied health care professional, such as a physiotherapist, dietician, or podiatrist = 3; Another health care professional = 4; Not sure = 5; A GP = 6; Another specialist doctor = 7",79521,96.65,5,1,5,4,Option not available in Spain || Country specific for Australia,Q_USUALDR3,Who is this health care professional?,Numeric,,MATCHED,paris-cycle1-puf-codebook-202605-v0.xlsx,PUF_DataDictionary,50,497,EXTRACTED_UNREVIEWED
SRC-PARIS-C1-Q_USUALDR4,PARIS-C1-PUF202605-CODEBOOK,PaRIS,1,Q_USUALDR4,ASK IF USUALDR3 = 1-3,numeric,How long have you been seeing this health care professional?,Not answered = -97; Multiple answers = -96; Question not asked = -95; 1 year or less = 1; More than 1 year but no more than 3 years = 2; More than 3 years but no more than 5 years = 3; More than 5 years but no more than 10 years = 4; More than 10 years = 5; Not sure = 6; NA = 7,80517,97.86,6,1,6,1,,Q_USUALDR4,How long have you been seeing this health care professional?,Numeric,,MATCHED,paris-cycle1-puf-codebook-202605-v0.xlsx,PUF_DataDictionary,51,509,EXTRACTED_UNREVIEWED
SRC-PARIS-C1-Q_USUALDR5,PARIS-C1-PUF202605-CODEBOOK,PaRIS,1,Q_USUALDR5,ASK IF USUALDR3 = 1-3,numeric,"How many times have you seen this health care professional in the past 12 months? This could be in person, on the phone, by video call or online messaging.",Not answered = -97; Multiple answers = -96; Question not asked = -95; Not in the past 12 months = 1; 1 time = 2; 2 times = 3; 3 times = 4; 4 times = 5; 5 times or more = 6; Not sure = 7; 1 time or less (USA) = 8; 4 times or more (USA) = 9,80731,98.12,9,1,9,5,Q_USUALDR5 was recoded in the US dataset. Codes 8 and 9 have been added accordingly || Recoded US data (to avoid disclosure),Q_USUALDR5,"How many times have you seen this health care professional in the past 12 months? This could be in person, on the phone, by video call or online messaging.",Numeric,,MATCHED,paris-cycle1-puf-codebook-202605-v0.xlsx,PUF_DataDictionary,52,521,EXTRACTED_UNREVIEWED
SRC-PARIS-C1-Q_CHRONCOND01,PARIS-C1-PUF202605-CODEBOOK,PaRIS,1,Q_CHRONCOND01,ASK ALL,numeric,Have you ever been told by a doctor that you have any of the following health conditions? High blood pressure,Question not answered = -97; No = 0; Yes = 1,3182,3.87,2,0,1,1,Removed from Norway's and Luxembourg's PUF,Q_CHRONCOND01,Have you ever been told by a doctor that you have any of the following health conditions? High blood pressure,Numeric,,MATCHED,paris-cycle1-puf-codebook-202605-v0.xlsx,PUF_DataDictionary,53,535,EXTRACTED_UNREVIEWED
SRC-PARIS-C1-Q_CHRONCOND02,PARIS-C1-PUF202605-CODEBOOK,PaRIS,1,Q_CHRONCOND02,ASK ALL,numeric,Have you ever been told by a doctor that you have any of the following health conditions? Cardiovascular or heart condition,Question not answered = -97; No = 0; Yes = 1,3201,3.89,2,0,1,1,Removed from Norway's and Luxembourg's PUF,Q_CHRONCOND02,Have you ever been told by a doctor that you have any of the following health conditions? Cardiovascular or heart condition,Numeric,,MATCHED,paris-cycle1-puf-codebook-202605-v0.xlsx,PUF_DataDictionary,54,540,EXTRACTED_UNREVIEWED
SRC-PARIS-C1-Q_CHRONCOND03,PARIS-C1-PUF202605-CODEBOOK,PaRIS,1,Q_CHRONCOND03,ASK ALL,numeric,Have you ever been told by a doctor that you have any of the following health conditions? Diabetes (type 1 or 2),Question not answered = -97; No = 0; Yes = 1,3190,3.88,2,0,1,1,Removed from Norway's and Luxembourg's PUF,Q_CHRONCOND03,Have you ever been told by a doctor that you have any of the following health conditions? Diabetes (type 1 or 2),Numeric,,MATCHED,paris-cycle1-puf-codebook-202605-v0.xlsx,PUF_DataDictionary,55,545,EXTRACTED_UNREVIEWED
SRC-PARIS-C1-Q_CHRONCOND04,PARIS-C1-PUF202605-CODEBOOK,PaRIS,1,Q_CHRONCOND04,ASK ALL,numeric,Have you ever been told by a doctor that you have any of the following health conditions? Arthritis or ongoing problem with back or joints,Question not answered = -97; No = 0; Yes = 1,3173,3.86,2,0,1,1,Removed from Norway's and Luxembourg's PUF,Q_CHRONCOND04,Have you ever been told by a doctor that you have any of the following health conditions? Arthritis or ongoing problem with back or joints,Numeric,,MATCHED,paris-cycle1-puf-codebook-202605-v0.xlsx,PUF_DataDictionary,56,550,EXTRACTED_UNREVIEWED
SRC-PARIS-C1-Q_CHRONCOND05,PARIS-C1-PUF202605-CODEBOOK,PaRIS,1,Q_CHRONCOND05,ASK ALL,numeric,"Have you ever been told by a doctor that you have any of the following health conditions? Breathing condition (e.g., asthma or COPD)",Question not answered = -97; No = 0; Yes = 1,3183,3.87,2,0,1,0,Removed from Norway's and Luxembourg's PUF,Q_CHRONCOND05,"Have you ever been told by a doctor that you have any of the following health conditions? Breathing condition (e.g., asthma or COPD)",Numeric,,MATCHED,paris-cycle1-puf-codebook-202605-v0.xlsx,PUF_DataDictionary,57,555,EXTRACTED_UNREVIEWED
SRC-PARIS-C1-Q_CHRONCOND07,PARIS-C1-PUF202605-CODEBOOK,PaRIS,1,Q_CHRONCOND07,ASK ALL,numeric,"Have you ever been told by a doctor that you have any of the following health conditions? Depression, anxiety or other mental health condition (e.g., bipolar disorder or schizophrenia) (ongoing)",Question not answered = -97; No = 0; Yes = 1,3178,3.86,2,0,1,0,Removed from Norway's and Luxembourg's PUF,Q_CHRONCOND07,"Have you ever been told by a doctor that you have any of the following health conditions? Depression, anxiety or other mental health condition (e.g., bipolar disorder or schizophrenia) (ongoing)",Numeric,,MATCHED,paris-cycle1-puf-codebook-202605-v0.xlsx,PUF_DataDictionary,58,561,EXTRACTED_UNREVIEWED
SRC-PARIS-C1-Q_CHRONCOND08,PARIS-C1-PUF202605-CODEBOOK,PaRIS,1,Q_CHRONCOND08,ASK ALL,numeric,"Have you ever been told by a doctor that you have any of the following health conditions? Neurological condition (e.g., epilepsy or migraine)",Question not answered = -97; No = 0; Yes = 1,3196,3.88,2,0,1,0,Removed from Norway's and Luxembourg's PUF,Q_CHRONCOND08,"Have you ever been told by a doctor that you have any of the following health conditions? Neurological condition (e.g., epilepsy or migraine)",Numeric,,MATCHED,paris-cycle1-puf-codebook-202605-v0.xlsx,PUF_DataDictionary,59,566,EXTRACTED_UNREVIEWED
SRC-PARIS-C1-Q_CHRONCOND09,PARIS-C1-PUF202605-CODEBOOK,PaRIS,1,Q_CHRONCOND09,ASK ALL,numeric,Have you ever been told by a doctor that you have any of the following health conditions? Chronic kidney disease,Question not answered = -97; No = 0; Yes = 1,3195,3.88,2,0,1,0,Removed from Norway's and Luxembourg's PUF,Q_CHRONCOND09,Have you ever been told by a doctor that you have any of the following health conditions? Chronic kidney disease,Numeric,,MATCHED,paris-cycle1-puf-codebook-202605-v0.xlsx,PUF_DataDictionary,60,571,EXTRACTED_UNREVIEWED
SRC-PARIS-C1-Q_CHRONCOND11,PARIS-C1-PUF202605-CODEBOOK,PaRIS,1,Q_CHRONCOND11,ASK ALL,numeric,Have you ever been told by a doctor that you have any of the following health conditions? Cancer (diagnosis or treatment in the last 5 years),Question not answered = -97; No = 0; Yes = 1,3174,3.86,2,0,1,0,Removed from Norway's and Luxembourg's PUF,Q_CHRONCOND11,Have you ever been told by a doctor that you have any of the following health conditions? Cancer (diagnosis or treatment in the last 5 years),Numeric,,MATCHED,paris-cycle1-puf-codebook-202605-v0.xlsx,PUF_DataDictionary,61,577,EXTRACTED_UNREVIEWED
SRC-PARIS-C1-Q_CHRONCOND12,PARIS-C1-PUF202605-CODEBOOK,PaRIS,1,Q_CHRONCOND12,ASK ALL,numeric,Have you ever been told by a doctor that you have any of the following health conditions? Other long-term problem(s) (includes Alzheimer and Chronic liver disease),Question not answered = -97; No = 0; Yes = 1,3158,3.84,2,0,1,1,Removed from Norway's and Luxembourg's PUF,Q_CHRONCOND12,Have you ever been told by a doctor that you have any of the following health conditions? Other long-term problem(s) (includes Alzheimer and Chronic liver disease),Numeric,Added to label - (includes Alzheimer (original Q_CHRONICOND06) and Chronic liver disease (original Q_CHRONICOND10),MATCHED,paris-cycle1-puf-codebook-202605-v0.xlsx,PUF_DataDictionary,62,582,EXTRACTED_UNREVIEWED
SRC-PARIS-C1-Q_CHRONCOND13,PARIS-C1-PUF202605-CODEBOOK,PaRIS,1,Q_CHRONCOND13,ASK ALL,numeric,Have you ever been told by a doctor that you have any of the following health conditions? I have never been told by a doctor that I have any of these problems,Question not answered = -97; No = 0; Yes = 1,3157,3.84,2,0,1,0,Removed from Norway's and Luxembourg's PUF,Q_CHRONCOND13,Have you ever been told by a doctor that you have any of the following health conditions? I have never been told by a doctor that I have any of these problems,Numeric,,MATCHED,paris-cycle1-puf-codebook-202605-v0.xlsx,PUF_DataDictionary,63,587,EXTRACTED_UNREVIEWED
SRC-PARIS-C1-Q_P3CEQ6,PARIS-C1-PUF202605-CODEBOOK,PaRIS,1,Q_P3CEQ6,ASK IF Q_CHRONCOND = 1 TO 12,numeric,Do you have a single professional who takes responsibility for coordinating your care across the services that you use?,Not answered = -97; Multiple answers = -96; Question not asked = -95; Yes = 1; No = 2; I do not receive care from more than one service = 3; Not sure = 4; NA = 5,18125,22.03,4,1,4,1,,Q_P3CEQ6,Do you have a single professional who takes responsibility for coordinating your care across the services that you use?,Numeric,,MATCHED,paris-cycle1-puf-codebook-202605-v0.xlsx,PUF_DataDictionary,64,592,EXTRACTED_UNREVIEWED
SRC-PARIS-C1-Q_P3CEQ5M1,PARIS-C1-PUF202605-CODEBOOK,PaRIS,1,Q_P3CEQ5m1,ASK IF Q_CHRONCOND = 1 TO 12 AND Q_P3CEQ6 = 1,numeric,Is this the same professional that you see for most of your health problems?,Not answered = -97; Multiple answers = -96; Question not asked = -95; Yes = 1; No = 2; Not sure = 3; NA = 4,44617,54.23,3,1,3,1,,Q_P3CEQ5m1,Is this the same professional that you see for most of your health problems?,Numeric,ASK IF Q_CHRONCOND = 1 TO 12 AND Q_P3CEQ6 = 1,MATCHED,paris-cycle1-puf-codebook-202605-v0.xlsx,PUF_DataDictionary,65,601,EXTRACTED_UNREVIEWED
SRC-PARIS-C1-Q_P3CEQ5M2,PARIS-C1-PUF202605-CODEBOOK,PaRIS,1,Q_P3CEQ5m2,ASK IF Q_CHRONCOND = 1 TO 12 AND Q_P3CEQ5m1 = 2 OR 3,numeric,Who is this professional?,"Not answered = -97; Multiple answers = -96; Question not asked = -95; A doctor specialised in family medicine/general practice = 1; Another specialist doctor = 2; A nurse = 3; Nurse practitioner = 4; An allied health care professional, such as a physiotherapist, dietician, or podiatrist = 5; Another health care professional = 6; Not sure = 7; Other USA healthcare professional (nurse, nurse practitioner, an allied health care professional, or other healthcare professional) = 8",79020,96.04,8,1,8,2,ASK IF Q_CHRONCOND = 1 TO 12 AND Q_P3CEQ5m1 = 2 OR 3. Q_P3CEQ5m2 was recoded in the US dataset. Codes 8 and 9 have been added accordingly || Option not available in Spain and Wales || Recoded US data (to avoid disclosure),Q_P3CEQ5m2,Who is this professional?,Numeric,,MATCHED,paris-cycle1-puf-codebook-202605-v0.xlsx,PUF_DataDictionary,66,609,EXTRACTED_UNREVIEWED
SRC-PARIS-C1-Q_P3CEQ5,PARIS-C1-PUF202605-CODEBOOK,PaRIS,1,Q_P3CEQ5,ASK IF Q_CHRONCOND = 1 TO 12,numeric,Is your health care organized in a way that works for you?,"Not answered = -97; Multiple answers = -96; Question not asked = -95; Yes, definitely = 1; Yes, to some extent = 2; No, not really = 3; No, definitely not = 4; Not sure = 5; NA = 6",18068,21.96,5,1,5,1,,Q_P3CEQ5,Is your health care organized in a way that works for you?,Numeric,ASK IF Q_CHRONCOND = 1 TO 12,MATCHED,paris-cycle1-puf-codebook-202605-v0.xlsx,PUF_DataDictionary,67,621,EXTRACTED_UNREVIEWED
SRC-PARIS-C1-Q_P3CE_P3CEQ1,PARIS-C1-PUF202605-CODEBOOK,PaRIS,1,Q_P3CE_P3CEQ1,ASK IF Q_CHRONCOND = 1 TO 12,numeric,Do you discuss with the health care professionals involved in your care what is most important for you in managing your own health and wellbeing?,"Not answered = -97; Multiple answers = -96; Question not asked = -95; Yes, definitely = 1; Yes, to some extent = 2; No, not really = 3; No, definitely not = 4; Not sure = 5; NA = 6",18642,22.66,5,1,5,1,,Q_P3CE_P3CEQ1,Do you discuss with the health care professionals involved in your care what is most important for you in managing your own health and wellbeing?,Numeric,ASK IF Q_CHRONCOND = 1 TO 12,MATCHED,paris-cycle1-puf-codebook-202605-v0.xlsx,PUF_DataDictionary,68,631,EXTRACTED_UNREVIEWED
SRC-PARIS-C1-Q_P3CE_P3CEQ2,PARIS-C1-PUF202605-CODEBOOK,PaRIS,1,Q_P3CE_P3CEQ2,ASK IF Q_CHRONCOND = 1 TO 12,numeric,Are you involved as much as you want to be in decisions about your care?,"Not answered = -97; Multiple answers = -96; Question not asked = -95; Yes, definitely = 1; Yes, to some extent = 2; No, not really = 3; No, definitely not = 4; Not sure = 5; NA = 6",18688,22.71,5,1,5,2,,Q_P3CE_P3CEQ2,Are you involved as much as you want to be in decisions about your care?,Numeric,ASK IF Q_CHRONCOND = 1 TO 12,MATCHED,paris-cycle1-puf-codebook-202605-v0.xlsx,PUF_DataDictionary,69,641,EXTRACTED_UNREVIEWED
SRC-PARIS-C1-Q_P3CE_P3CEQ3,PARIS-C1-PUF202605-CODEBOOK,PaRIS,1,Q_P3CE_P3CEQ3,ASK IF Q_CHRONCOND = 1 TO 12,numeric,Are you considered as a ‘whole person’ rather than just a disease/condition in relation to your care?,"Not answered = -97; Multiple answers = -96; Question not asked = -95; Yes, definitely = 1; Yes, to some extent = 2; No, not really = 3; No, definitely not = 4; Not sure = 5; NA = 6",18704,22.73,5,1,5,1,,Q_P3CE_P3CEQ3,Are you considered as a ‘whole person’ rather than just a disease/condition in relation to your care?,Numeric,ASK IF Q_CHRONCOND = 1 TO 12,MATCHED,paris-cycle1-puf-codebook-202605-v0.xlsx,PUF_DataDictionary,70,651,EXTRACTED_UNREVIEWED
SRC-PARIS-C1-Q_PCMH4,PARIS-C1-PUF202605-CODEBOOK,PaRIS,1,Q_PCMH4,ASK IF Q_CHRONCOND = 1 TO 12,numeric,How often does a health care professional talk to you about specific goals for your health?,Not answered = -97; Multiple answers = -96; Question not asked = -95; Always = 1; Often = 2; Sometimes = 3; Rarely = 4; Never = 5; Not sure = 6; NA = 7,18410,22.38,6,1,6,1,,Q_PCMH4,How often does a health care professional talk to you about specific goals for your health?,Numeric,ASK IF Q_CHRONCOND = 1 TO 12,MATCHED,paris-cycle1-puf-codebook-202605-v0.xlsx,PUF_DataDictionary,71,662,EXTRACTED_UNREVIEWED
SRC-PARIS-C1-Q_P3CEQ7A,PARIS-C1-PUF202605-CODEBOOK,PaRIS,1,Q_P3CEQ7a,ASK IF Q_CHRONCOND = 1 TO 12,numeric,Do you have a care plan that takes into account all your health and wellbeing needs?,Not answered = -97; Multiple answers = -96; Question not asked = -95; Yes = 1; No = 2; Not sure = 3; NA = 4,18595,22.6,3,1,3,1,,Q_P3CEQ7a,Do you have a care plan that takes into account all your health and wellbeing needs?,Numeric,ASK IF Q_CHRONCOND = 1 TO 12,MATCHED,paris-cycle1-puf-codebook-202605-v0.xlsx,PUF_DataDictionary,72,674,EXTRACTED_UNREVIEWED
SRC-PARIS-C1-Q_P3CEQ7B,PARIS-C1-PUF202605-CODEBOOK,PaRIS,1,Q_P3CEQ7b,ASK IF Q_CHRONCOND = 1 TO 12,numeric,Is this care plan available to you?,Not answered = -97; Multiple answers = -96; Question not asked = -95; Yes = 1; No = 2; Not sure = 3; NA = 4,65488,79.599999999999994,3,1,3,1,,Q_P3CEQ7b,Is this care plan available to you?,Numeric,ASK IF Q_CHRONCOND = 1 TO 12 AND Q_P3CEQ7a = 1,MATCHED,paris-cycle1-puf-codebook-202605-v0.xlsx,PUF_DataDictionary,73,682,EXTRACTED_UNREVIEWED
SRC-PARIS-C1-P3CEQ7C,PARIS-C1-PUF202605-CODEBOOK,PaRIS,1,P3CEQ7c,ASK IF Q_CHRONCOND = 1 TO 12,numeric,To what extent have you found your care plan useful for you to manage your health and wellbeing?,Not answered = -97; Multiple answers = -96; Question not asked = -95; Not at all = 1; To some extent = 2; To a large extent = 3; Completely = 4; Not sure = 5; NA = 6,65504,79.62,5,1,5,2,,P3CEQ7c,To what extent have you found your care plan useful for you to manage your health and wellbeing?,Numeric,ASK IF Q_CHRONCOND = 1 TO 12 AND Q_P3CEQ7a = 1,MATCHED,paris-cycle1-puf-codebook-202605-v0.xlsx,PUF_DataDictionary,74,690,EXTRACTED_UNREVIEWED
SRC-PARIS-C1-P3CEQ7D,PARIS-C1-PUF202605-CODEBOOK,PaRIS,1,P3CEQ7d,ASK IF Q_CHRONCOND = 1 TO 12,numeric,To what extent do all the professionals involved in your care appear to be following the same care plan?,Not answered = -97; Multiple answers = -96; Question not asked = -95; Not at all = 1; To some extent = 2; To a large extent = 3; Completely = 4; Not sure = 5; NA = 6,65605,79.739999999999995,5,1,5,2,,P3CEQ7d,To what extent do all the professionals involved in your care appear to be following the same care plan?,Numeric,ASK IF Q_CHRONCOND = 1 TO 12 AND Q_P3CEQ7a = 1,MATCHED,paris-cycle1-puf-codebook-202605-v0.xlsx,PUF_DataDictionary,75,700,EXTRACTED_UNREVIEWED
SRC-PARIS-C1-Q_P3CEQ8,PARIS-C1-PUF202605-CODEBOOK,PaRIS,1,Q_P3CEQ8,ASK IF Q_CHRONCOND = 1 TO 12,numeric,Do you have enough support from your health care professionals to help you to manage your own health and wellbeing?,Not answered = -97; Multiple answers = -96; Question not asked = -95; I do not need support = 1; I have had no support = 2; I sometimes have enough support = 3; I often have enough support = 4; I always have enough support = 5; Not relevant = 6; Not sure = 7; NA = 8,19182,23.31,7,1,7,5,,Q_P3CEQ8,Do you have enough support from your health care professionals to help you to manage your own health and wellbeing?,Numeric,ASK IF Q_CHRONCOND = 1 TO 12,MATCHED,paris-cycle1-puf-codebook-202605-v0.xlsx,PUF_DataDictionary,76,710,EXTRACTED_UNREVIEWED
SRC-PARIS-C1-P3CEQ9,PARIS-C1-PUF202605-CODEBOOK,PaRIS,1,P3CEQ9,ASK IF Q_CHRONCOND = 1 TO 12,numeric,To what extent do you receive useful information at the time you need it to help you manage your health and wellbeing?,Not answered = -97; Multiple answers = -96; Question not asked = -95; I do not receive any information = 1; I sometimes receive enough information = 2; I often receive enough information = 3; I always receive enough information = 4; I receive too much information = 5; Not relevant = 6; Not sure = 7; NA = 8,18876,22.94,7,1,7,2,,P3CEQ9,To what extent do you receive useful information at the time you need it to help you manage your health and wellbeing?,Numeric,ASK IF Q_CHRONCOND = 1 TO 12,MATCHED,paris-cycle1-puf-codebook-202605-v0.xlsx,PUF_DataDictionary,77,722,EXTRACTED_UNREVIEWED
SRC-PARIS-C1-Q_P3CEQ11B,PARIS-C1-PUF202605-CODEBOOK,PaRIS,1,Q_P3CEQ11b,ASK IF Q_CHRONCOND = 1 TO 12,numeric,"Do your health care professionals involve your family, friends and/or carers as much as you want them to be in decisions about your care?","Not answered = -97; Multiple answers = -96; Question not asked = -95; No, definitely not = 1; No, not really = 2; Yes, to some extent = 3; Yes, definitely = 4; I do not want my family, friends or carers to be involved = 5; My family, friends or carers do not want to be involved = 6; Not applicable = 7; NA = 8",19130,23.25,7,1,7,4,,Q_P3CEQ11b,"Do your health care professionals involve your family, friends and/or carers as much as you want them to be in decisions about your care?",Numeric,ASK IF Q_CHRONCOND = 1 TO 12,MATCHED,paris-cycle1-puf-codebook-202605-v0.xlsx,PUF_DataDictionary,78,734,EXTRACTED_UNREVIEWED
SRC-PARIS-C1-Q_MEDCWF1605,PARIS-C1-PUF202605-CODEBOOK,PaRIS,1,Q_MEDCWF1605,ASK IF Q_CHRONCOND = 1 TO 12,numeric,How many different medications as prescribed by a doctor or a nurse are you taking on a regular or ongoing basis?,Not answered = -97; Multiple answers = -96; Question not asked = -95; No medication = 1; 1-2 medications = 2; 3-4 medications = 3; 5-9 medications = 4; 10 or more medications = 5; NA = 6,18593,22.6,5,1,5,5,,Q_MEDCWF1605,How many different medications as prescribed by a doctor or a nurse are you taking on a regular or ongoing basis?,Numeric,ASK IF Q_CHRONCOND = 1 TO 12,MATCHED,paris-cycle1-puf-codebook-202605-v0.xlsx,PUF_DataDictionary,79,747,EXTRACTED_UNREVIEWED
SRC-PARIS-C1-Q_MEDCWF71110,PARIS-C1-PUF202605-CODEBOOK,PaRIS,1,Q_MEDCWF71110,ASK IF Q_CHRONCOND = 1 TO 12,numeric,"In the past 12 months, has a health care professional reviewed with you all medications you take?",Not answered = -97; Multiple answers = -96; Question not asked = -95; Yes = 1; No = 2; Not sure = 3; NA = 4,24636,29.94,3,1,3,1,,Q_MEDCWF71110,"In the past 12 months, has a health care professional reviewed with you all medications you take?",Numeric,ASK IF Q_CHRONCOND = 1 TO 12 AND Q_MEDCWF1605 = 2 TO 5,MATCHED,paris-cycle1-puf-codebook-202605-v0.xlsx,PUF_DataDictionary,80,758,EXTRACTED_UNREVIEWED
SRC-PARIS-C1-Q_P3CEQ4,PARIS-C1-PUF202605-CODEBOOK,PaRIS,1,Q_P3CEQ4,ASK ALL,numeric,Were there times when you had to repeat information that should have been in your care records?,"Not answered = -97; Multiple answers = -96; Question not asked = -95; Yes, definitely = 1; Yes, to some extent = 2; No, not really = 3; No, definitely not = 4; Not sure = 5; NA = 6",4406,5.36,5,1,5,5,,Q_P3CEQ4,Were there times when you had to repeat information that should have been in your care records?,Numeric,,MATCHED,paris-cycle1-puf-codebook-202605-v0.xlsx,PUF_DataDictionary,81,767,EXTRACTED_UNREVIEWED
SRC-PARIS-C1-Q_PREOS3,PARIS-C1-PUF202605-CODEBOOK,PaRIS,1,Q_PREOS3,ASK ALL,numeric,How often do you believe you have had any such event or circumstance with your primary care centre?,Not answered = -97; Multiple answers = -96; Question not asked = -95; Always = 1; Often = 2; Sometimes = 3; Rarely = 4; Never = 5; Not applicable = 6; NA = 7,4476,5.44,6,1,6,4,Question was asked with slightly different wording in Australia: In the past 12 months how often do you believe you have experienced such an event or circumstance with your primary care centre? Answer options are the same/similar,Q_PREOS3,How often do you believe you have had any such event or circumstance with your primary care centre?,Numeric,,MATCHED,paris-cycle1-puf-codebook-202605-v0.xlsx,PUF_DataDictionary,82,778,EXTRACTED_UNREVIEWED
SRC-PARIS-C1-Q_PREOS1,PARIS-C1-PUF202605-CODEBOOK,PaRIS,1,Q_PREOS1,ASK ALL,numeric,How often did you feel that the health care professionals at your primary care centre encouraged you to talk about any concerns about your health care?,Not answered = -97; Multiple answers = -96; Question not asked = -95; Always = 1; Often = 2; Sometimes = 3; Rarely = 4; Never = 5; Not applicable = 6; NA = 7,4760,5.79,6,1,6,3,Question was asked with slightly different wording in Australia: In the past 12 months how often did you feel that your healthcare professional/GP encouraged you to talk about any concerns about your health care?,Q_PREOS1,How often did you feel that the health care professionals at your primary care centre encouraged you to talk about any concerns about your health care?,Numeric,,MATCHED,paris-cycle1-puf-codebook-202605-v0.xlsx,PUF_DataDictionary,83,790,EXTRACTED_UNREVIEWED
